Scan ID,TR1,TR2,Test
E16426,0.269,0.560,0.431
E16426,0.189,0.711,0.822
E16426,0.850,2.008,0.844
E16426,0.236,1.311,0.474
E16426,1.204,0.982,0.714
E16426,1.069,0.704,0.555
E16426,0.267,0.029,0.036
E16426,0.259,0.715,0.722
E16426,0.230,0.382,0.814
E16426,0.427,0.076,0.950
E16426,0.957,0.531,0.678
E16426,1.025,0.081,1.357
E16426,0.255,0.436,0.849
E16426,1.209,0.301,0.503
E16426,0.874,0.358,0.691
E16449,0.956,0.098,0.161
E16449,0.733,0.970,0.350
E16449,0.134,0.702,0.074
E16449,0.531,0.557,0.813
E16449,0.152,1.246,0.535
E16449,0.785,0.598,0.433
E16449,0.199,1.551,0.635
E16449,0.458,0.656,1.171
E16449,0.895,0.924,0.163
E16449,0.277,0.367,0.119
E16449,0.105,0.272,0.847
E16449,0.078,0.579,0.365
E16449,1.488,0.541,0.143
E16449,0.739,0.187,0.542
E16449,0.933,0.670,0.006
E16488,0.369,1.447,0.562
E16488,0.463,1.693,0.100
E16488,0.392,0.864,0.467
E16488,1.315,1.440,0.286
E16488,0.986,0.099,1.141
E16488,0.455,1.386,1.014
E16488,0.915,0.948,0.211
E16488,0.225,0.625,0.751
E16488,0.844,0.567,1.279
E16488,1.358,0.923,0.548
E16488,1.113,0.909,0.370
E16488,1.341,1.473,0.673
E16488,0.677,0.899,0.466
E16488,1.160,0.474,0.183
E16488,0.206,0.495,1.112
E16502,0.671,0.213,1.226
E16502,0.311,0.477,0.011
E16502,0.338,0.305,0.625
E16502,0.325,1.321,0.701
E16502,0.129,0.006,0.654
E16502,0.290,0.430,0.313
E16502,0.609,0.472,1.342
E16502,0.058,1.187,0.526
E16502,0.446,0.310,0.637
E16502,0.531,0.444,0.976
E16502,0.884,0.649,0.183
E16502,0.219,0.074,0.583
E16502,0.340,0.243,0.180
E16502,0.433,0.024,0.251
E16502,0.226,0.235,0.072
E16518,0.281,0.054,0.095
E16518,0.779,0.372,0.881
E16518,0.298,0.935,0.038
E16518,0.507,0.313,0.305
E16518,0.057,1.670,0.095
E16518,0.246,0.066,0.464
E16518,0.679,0.441,0.206
E16518,0.056,0.085,0.095
E16518,0.043,0.141,0.640
E16518,0.252,0.028,0.651
E16518,0.130,0.600,0.341
E16518,0.585,0.047,0.519
E16518,1.361,0.359,0.727
E16518,0.470,0.058,0.610
E16518,0.375,0.162,0.025
E16520,0.286,0.405,0.738
E16520,0.209,0.464,0.203
E16520,0.237,0.064,0.379
E16520,0.462,0.715,0.056
E16520,0.255,0.439,0.138
E16520,0.271,0.406,0.424
E16520,0.953,0.047,0.523
E16520,0.011,0.440,0.108
E16520,0.274,0.936,0.456
E16520,0.547,0.256,0.790
E16520,0.286,0.585,0.032
E16520,0.776,0.140,0.349
E16520,0.787,0.338,0.558
