Session,Group,Measure,N,Mean,SD,SEM
pre,down-regulation,poms_tension_score,9,2.66666666666667,2.06155281280883,0.687184270936277
pre,down-regulation,poms_depression_score,9,0.222222222222222,0.440958551844098,0.146986183948033
pre,down-regulation,poms_anger_score,9,1,1.6583123951777,0.552770798392567
pre,down-regulation,poms_fatigue_score,9,1.55555555555556,2.00693242979872,0.668977476599572
pre,down-regulation,poms_confusion_score,9,3.11111111111111,0.781735959970572,0.260578653323524
pre,down-regulation,poms_vigour_score,9,13.6666666666667,7.24568837309472,2.41522945769824
pre,down-regulation,poms_tmd_score,9,-5.11111111111111,9.07530226004132,3.02510075334711
pre,up-regulation,poms_tension_score,10,3.3,2.94580681270476,0.931545907498808
pre,up-regulation,poms_depression_score,10,1.9,4.9766119666563,1.57374288454838
pre,up-regulation,poms_anger_score,10,1.2,2.82055944017416,0.891939210683977
pre,up-regulation,poms_fatigue_score,10,2,2.16024689946929,0.683130051063973
pre,up-regulation,poms_confusion_score,10,2.8,2.5298221281347,0.8
pre,up-regulation,poms_vigour_score,10,18.1,6.77331364826536,2.14190984352231
pre,up-regulation,poms_tmd_score,10,-6.9,17.4957137608044,5.53263047744922
post,down-regulation,poms_tension_score,8,4,3.11677488989592,1.10194633003868
post,down-regulation,poms_depression_score,8,0.25,0.462910049886276,0.163663417676994
post,down-regulation,poms_anger_score,8,1,1.51185789203691,0.534522483824849
post,down-regulation,poms_fatigue_score,8,2.375,1.68501801601221,0.595743832771867
post,down-regulation,poms_confusion_score,8,2.875,0.83452296039628,0.295048422176041
post,down-regulation,poms_vigour_score,8,11.5,6.14119578862991,2.17124059336724
post,down-regulation,poms_tmd_score,8,-1,11.4642300844222,4.05321741688889
post,up-regulation,poms_tension_score,8,3.25,2.76457178290909,0.977423727386001
post,up-regulation,poms_depression_score,8,1.25,3.53553390593274,1.25
post,up-regulation,poms_anger_score,8,1.25,2.81577190634672,0.995525704626168
post,up-regulation,poms_fatigue_score,8,4.25,3.69362384967083,1.3058932356273
post,up-regulation,poms_confusion_score,8,3.375,2.32609421256197,0.822398495690675
post,up-regulation,poms_vigour_score,8,17.125,7.140178069008,2.52443416573751
post,up-regulation,poms_tmd_score,8,-3.75,16.9768750279398,6.00223172780639
